*************************************
Time	p   q		S   OV
872	-11   + 7		- 4   0
873	-11   + 8		- 3   0
874	-11   + 9		- 2   0
875	-11   +10		- 1   0
876	-11   +11		+ 0   0
877	-11   +12		+ 1   0
878	-11   +13		+ 2   0
879	-11   +14		+ 3   0
880	-11   +15		+ 4   0
881	-11   - 0		-11   0
882	-11   - 1		-12   0
883	-11   - 2		-13   0
884	-11   - 3		-14   0
885	-11   - 4		-15   0
886	-11   - 5		+ 0   1
887	-11   - 6		- 1   1
888	-11   - 7		- 2   1
889	-11   - 8		- 3   1
890	-11   - 9		- 4   1
891	-11   -10		- 5   1
892	-11   -11		- 6   1
893	-11   -12		- 7   1
894	-11   -13		- 8   1
895	-11   -14		- 9   1
896	-11   -15		-10   1
897	-12   + 0		-12   0
898	-12   + 1		-11   0
899	-12   + 2		-10   0
900	-12   + 3		- 9   0
901	-12   + 4		- 8   0
902	-12   + 5		- 7   0
903	-12   + 6		- 6   0
904	-12   + 7		- 5   0
905	-12   + 8		- 4   0
906	-12   + 9		- 3   0
907	-12   +10		- 2   0
908	-12   +11		- 1   0
909	-12   +12		+ 0   0
910	-12   +13		+ 1   0
911	-12   +14		+ 2   0
912	-12   +15		+ 3   0
913	-12   - 0		-12   0
914	-12   - 1		-13   0
915	-12   - 2		-14   0
916	-12   - 3		-15   0
917	-12   - 4		+ 0   1
918	-12   - 5		- 1   1
919	-12   - 6		- 2   1
920	-12   - 7		- 3   1
921	-12   - 8		- 4   1
922	-12   - 9		- 5   1
923	-12   -10		- 6   1
924	-12   -11		- 7   1
925	-12   -12		- 8   1
926	-12   -13		- 9   1
927	-12   -14		-10   1
928	-12   -15		-11   1
929	-13   + 0		-13   0
930	-13   + 1		-12   0
931	-13   + 2		-11   0
932	-13   + 3		-10   0
933	-13   + 4		- 9   0
934	-13   + 5		- 8   0
935	-13   + 6		- 7   0
936	-13   + 7		- 6   0
937	-13   + 8		- 5   0
938	-13   + 9		- 4   0
939	-13   +10		- 3   0
940	-13   +11		- 2   0
941	-13   +12		- 1   0
942	-13   +13		+ 0   0
943	-13   +14		+ 1   0
944	-13   +15		+ 2   0
945	-13   - 0		-13   0
946	-13   - 1		-14   0
947	-13   - 2		-15   0
948	-13   - 3		+ 0   1
949	-13   - 4		- 1   1
950	-13   - 5		- 2   1
951	-13   - 6		- 3   1
952	-13   - 7		- 4   1
953	-13   - 8		- 5   1
954	-13   - 9		- 6   1
955	-13   -10		- 7   1
956	-13   -11		- 8   1
957	-13   -12		- 9   1
958	-13   -13		-10   1
959	-13   -14		-11   1
960	-13   -15		-12   1
961	-14   + 0		-14   0
962	-14   + 1		-13   0
963	-14   + 2		-12   0
964	-14   + 3		-11   0
965	-14   + 4		-10   0
966	-14   + 5		- 9   0
967	-14   + 6		- 8   0
968	-14   + 7		- 7   0
969	-14   + 8		- 6   0
970	-14   + 9		- 5   0
971	-14   +10		- 4   0
972	-14   +11		- 3   0
973	-14   +12		- 2   0
974	-14   +13		- 1   0
975	-14   +14		+ 0   0
976	-14   +15		+ 1   0
977	-14   - 0		-14   0
978	-14   - 1		-15   0
979	-14   - 2		+ 0   1
980	-14   - 3		- 1   1
981	-14   - 4		- 2   1
982	-14   - 5		- 3   1
983	-14   - 6		- 4   1
984	-14   - 7		- 5   1
985	-14   - 8		- 6   1
986	-14   - 9		- 7   1
987	-14   -10		- 8   1
988	-14   -11		- 9   1
989	-14   -12		-10   1
990	-14   -13		-11   1
991	-14   -14		-12   1
992	-14   -15		-13   1
993	-15   + 0		-15   0
994	-15   + 1		-14   0
995	-15   + 2		-13   0
996	-15   + 3		-12   0
997	-15   + 4		-11   0
998	-15   + 5		-10   0
999	-15   + 6		- 9   0
1000	-15   + 7		- 8   0
1001	-15   + 8		- 7   0
1002	-15   + 9		- 6   0
1003	-15   +10		- 5   0
1004	-15   +11		- 4   0
1005	-15   +12		- 3   0
1006	-15   +13		- 2   0
1007	-15   +14		- 1   0
1008	-15   +15		+ 0   0
1009	-15   - 0		-15   0
1010	-15   - 1		+ 0   1
1011	-15   - 2		- 1   1
1012	-15   - 3		- 2   1
1013	-15   - 4		- 3   1
1014	-15   - 5		- 4   1
1015	-15   - 6		- 5   1
1016	-15   - 7		- 6   1
1017	-15   - 8		- 7   1
1018	-15   - 9		- 8   1
1019	-15   -10		- 9   1
1020	-15   -11		-10   1
1021	-15   -12		-11   1
1022	-15   -13		-12   1
1023	-15   -14		-13   1
1024	-15   -15		-14   1
